,country_name,scale,Farm Number,type,edge density for plots m/ha,total area (ha) user input,calculated area (ha) using polygon,total perimeter (m) user input,calculated perimeter (m) using polygon
1333,Brazil,SPG 2023,Farm 196,natural_area,427.13,1.63,1.3,698.0,696.69
1334,Brazil,SPG 2023,Farm 196,natural_area,1084.36,0.18,0.14,193.0,193.23
1335,Brazil,Larisse Local & SPG 2023,Farm 135,farm_site_boundary,846.03,0.23,0.2,192.0,191.37
1336,Brazil,Other,Farm 197,farm_site_boundary,721.04,1.1,0.96,795.0,794.58
1337,Brazil,Other,Farm 197,garden,1192.95,0.27,0.24,328.0,327.47
1338,Brazil,Other,Farm 197,garden,1782.0,0.09,0.08,162.0,161.81
1339,Brazil,Other,Farm 197,residence,0.0,0.02,0.01,50.0,49.81
1340,Brazil,Other,Farm 197,farm_site_boundary,1285.95,0.12,0.11,155.0,154.57
1341,Brazil,Other,Farm 180,field,210.89,3.68,2.95,778.0,775.8
1342,Brazil,Other,Farm 180,field,334.36,1.8,1.44,603.0,600.37
1343,Brazil,Other,Farm 180,field,356.25,1.53,1.22,545.0,543.63
1344,Brazil,Other,Farm 180,garden,718.05,0.32,0.26,231.0,230.28
1345,Brazil,Other,Farm 180,field,481.8,0.97,0.78,469.0,468.07
1346,Brazil,Other,Farm 180,field,261.06,3.61,2.89,946.0,941.91
1347,Brazil,Other,Farm 180,field,370.23,1.35,1.08,502.0,500.77
1348,Brazil,Other,Farm 180,surface_water,4976.73,0.01,0.0,29.0,28.87
1349,Brazil,Other,Farm 180,surface_water,1936.31,0.04,0.03,83.0,82.68
1350,Brazil,Other,Farm 198,farm_site_boundary,92.18,20.07,15.97,1860.0,1850.15
1351,Brazil,Other,Farm 198,field,200.54,4.21,3.35,846.0,843.74
1352,Brazil,SPG 2023,Farm 199,farm_site_boundary,1276.83,0.23,0.27,292.0,292.27
1353,Brazil,SPG 2023,Farm 199,field,1348.08,0.22,0.26,293.0,292.67
1354,Brazil,SPG 2023,Farm 199,farm_site_boundary,358.77,4.36,5.17,1572.0,1563.68
1355,Brazil,SPG 2023,Farm 199,field,359.38,4.35,5.16,1571.0,1563.0
1356,Brazil,SPG 2023,Farm 200,farm_site_boundary,1022.55,0.24,0.28,244.0,243.37
1357,Brazil,SPG 2023,Farm 200,field,1170.51,0.21,0.25,244.0,243.11
1358,Brazil,SPG 2023,Farm 200,farm_site_boundary,327.41,5.39,6.4,1775.0,1765.44
1359,Brazil,SPG 2023,Farm 200,field,327.1,5.39,6.4,1774.0,1764.23
1360,Brazil,SPG 2023,Farm 194,greenhouse,1475.96,0.08,0.06,112.0,111.88
1361,Brazil,SPG 2023,Farm 194,greenhouse,2009.06,0.08,0.06,160.0,159.32
1362,Brazil,SPG 2023,Farm 194,greenhouse,2078.87,0.07,0.06,154.0,153.42
1363,Brazil,SPG 2023,Farm 194,greenhouse,2360.44,0.04,0.03,87.0,86.63
1364,Brazil,SPG 2023,Farm 194,greenhouse,2529.54,0.04,0.03,110.0,110.03
1365,Brazil,SPG 2023,Farm 194,greenhouse,2185.57,0.06,0.05,123.0,123.27
1366,Brazil,SPG 2023,Farm 194,surface_water,1978.76,0.04,0.03,75.0,74.6
1367,Brazil,SPG 2023,Farm 194,surface_water,1143.75,0.11,0.09,124.0,124.21
1368,Brazil,Other,Farm 201,farm_site_boundary,17262.74,0.0,0.0,36.0,36.25
1369,Brazil,SPG 2023,Farm 194,field,762.67,1.14,0.91,868.0,868.08
1370,Brazil,SPG 2023,Farm 194,surface_water,1426.74,0.08,0.06,109.0,108.57
1371,Brazil,SPG 2023,Farm 194,surface_water,2335.27,0.03,0.02,60.0,59.55
1372,Brazil,SPG 2023,Farm 194,surface_water,2120.32,0.03,0.03,71.0,71.24
1373,Brazil,SPG 2023,Farm 194,surface_water,1551.48,0.07,0.06,111.0,110.93
1374,Brazil,SPG 2023,Farm 194,surface_water,1741.56,0.05,0.04,95.0,94.57
1375,Brazil,SPG 2023,Farm 194,field,158.3,9.46,7.58,1499.0,1497.31
1376,Brazil,SPG 2023,Farm 194,field,897.6,0.31,0.25,276.0,275.74
1377,Brazil,SPG 2023,Farm 194,field,1041.0,0.17,0.14,182.0,181.76
1378,Brazil,SPG 2023,Farm 194,natural_area,359.68,2.0,1.61,723.0,721.05
1379,Brazil,SPG 2023,Farm 194,natural_area,912.78,1.4,1.12,1280.0,1276.88
1380,Brazil,SPG 2023,Farm 194,surface_water,2851.83,0.02,0.02,61.0,60.46
1381,Brazil,SPG 2023,Farm 194,field,1086.95,0.14,0.11,151.0,150.65
1382,Brazil,SPG 2023,Farm 194,field,1168.11,0.16,0.13,191.0,191.34
1383,Brazil,SPG 2023,Farm 194,field,644.58,0.46,0.37,300.0,298.83
1384,Brazil,SPG 2023,Farm 194,field,471.54,1.4,1.12,662.0,659.96
1385,Brazil,SPG 2023,Farm 194,field,1435.56,0.14,0.11,198.0,198.39
1386,Brazil,Other,Farm 202,garden,72.95,32.01,30.48,2341.0,2335.32
1387,Brazil,Other,Farm 201,garden,1123.4,0.25,0.25,282.0,280.85
1388,Brazil,SPG 2023,Farm 203,farm_site_boundary,360.32,1.37,1.19,493.0,492.73
1389,Brazil,SPG 2023,Farm 203,garden,1183.58,0.11,0.1,130.0,130.19
1390,Brazil,SPG 2023,Farm 203,garden,1863.6,0.05,0.05,102.0,101.75
1391,Brazil,SPG 2023,Farm 203,field,907.74,0.48,0.42,437.0,435.9
1392,Brazil,SPG 2023,Farm 203,surface_water,2169.05,0.03,0.03,75.0,75.05
1393,Brazil,SPG 2023,Farm 203,surface_water,3780.94,0.01,0.01,37.0,36.68
1394,Brazil,SPG 2023,Farm 203,residence,0.0,0.01,0.01,32.0,31.71
1395,Brazil,SPG 2023,Farm 203,barn,0.0,0.0,0.0,27.0,26.77
1396,Brazil,SPG 2023,Farm 203,natural_area,873.38,0.47,0.41,412.0,411.54
1397,Brazil,SPG 2023,Farm 203,natural_area,2024.63,0.06,0.05,127.0,126.74
1398,Brazil,SPG 2023,Farm 203,barn,0.0,0.0,0.0,19.0,19.34
1399,Brazil,SPG 2023,Farm 203,barn,0.0,0.0,0.0,29.0,28.68
1400,Brazil,SPG 2023,Farm 203,barn,0.0,0.0,0.0,18.0,17.52
1401,Brazil,Other,Farm 204,farm_site_boundary,617.63,0.52,0.41,324.0,322.84
1402,Brazil,Other,Farm 204,field,1473.76,0.07,0.06,110.0,109.35
1403,Brazil,SPG 2023,Farm 194,barn,0.0,0.03,0.03,79.0,78.83
1404,Brazil,SPG 2023,Farm 194,residence,0.0,0.01,0.01,42.0,42.25
1405,Brazil,SPG 2023,Farm 194,residence,0.0,0.01,0.01,42.0,42.29
1406,Brazil,SPG 2023,Farm 194,residence,0.0,0.02,0.02,58.0,57.76
1407,Brazil,SPG 2023,Farm 194,barn,0.0,0.03,0.02,69.0,68.92
1408,Brazil,SPG 2023,Farm 194,field,306.7,2.95,2.37,905.0,905.15
1409,Brazil,SPG 2023,Farm 194,field,568.69,1.09,0.87,618.0,617.94
1410,Brazil,SPG 2023,Farm 194,field,1184.01,0.14,0.11,170.0,169.79
1411,Brazil,SPG 2023,Farm 194,natural_area,233.55,7.54,6.05,1767.0,1761.62
1412,Brazil,SPG 2023,Farm 194,natural_area,320.49,5.57,4.47,1789.0,1786.27
1413,Brazil,SPG 2023,Farm 194,natural_area,312.84,5.54,4.44,1736.0,1733.95
1414,Brazil,SPG 2023,Farm 194,natural_area,1233.21,0.65,0.52,803.0,800.6
1415,Brazil,SPG 2023,Farm 194,field,2163.37,0.13,0.1,273.0,272.8
1416,Brazil,Other,Farm 205,farm_site_boundary,179.78,12.75,10.04,2292.0,2292.53
1417,Brazil,Other,Farm 205,natural_area,742.0,1.09,0.86,809.0,807.22
1418,Brazil,Other,Farm 205,natural_area,899.79,0.18,0.14,166.0,165.47
1419,Brazil,Other,Farm 205,natural_area,1171.6,0.3,0.24,352.0,351.25
1420,Brazil,Other,Farm 205,natural_area,894.72,0.47,0.37,422.0,421.95
1421,Brazil,Other,Farm 205,field,463.76,1.23,0.97,573.0,571.91
1422,Brazil,Other,Farm 205,field,634.07,0.55,0.43,349.0,348.99
1423,Brazil,Other,Farm 205,field,1408.67,0.19,0.15,263.0,262.01
1424,Brazil,Other,Farm 205,field,1151.46,0.16,0.13,190.0,189.42
1425,Brazil,Other,Farm 205,field,1979.4,0.05,0.04,105.0,104.51
1426,Brazil,Other,Farm 205,field,611.18,0.52,0.41,320.0,319.22
1427,Brazil,Other,Farm 205,field,982.21,0.2,0.16,195.0,194.48
1428,Brazil,Other,Farm 205,field,225.21,4.78,3.76,1077.0,1076.86
1429,Brazil,Other,Farm 205,field,545.02,0.64,0.51,351.0,350.45
1430,Brazil,Other,Farm 205,field,658.8,0.72,0.57,476.0,475.85
1431,Brazil,Other,Farm 205,field,601.26,0.49,0.39,295.0,294.38
1432,Brazil,Other,Farm 205,greenhouse,1938.58,0.07,0.05,130.0,129.5
1433,Brazil,Other,Farm 205,garden,762.02,0.27,0.22,209.0,208.64
1434,Brazil,Other,Farm 205,surface_water,1413.5,0.07,0.06,104.0,104.03
1435,Brazil,Other,Farm 205,residence,0.0,0.02,0.01,53.0,52.72
1436,Brazil,Other,Farm 205,field,2287.6,0.1,0.08,219.0,218.24
1437,Brazil,Other,Farm 205,natural_area,2696.7,0.04,0.03,96.0,96.0
1438,Brazil,Other,Farm 35,field,576.81,0.5,0.39,290.0,289.21
1439,Brazil,Other,Farm 35,field,919.88,0.43,0.34,392.0,391.59
1440,Brazil,Other,Farm 35,field,582.37,0.67,0.53,390.0,390.13
1441,Brazil,SPG 2023,Farm 206,farm_site_boundary,116.4,16.08,13.91,1874.0,1872.3
1442,Brazil,SPG 2023,Farm 206,natural_area,169.93,8.76,7.58,1490.0,1488.75
1443,Brazil,SPG 2023,Farm 206,surface_water,2817.95,0.02,0.02,55.0,55.23
1444,Brazil,SPG 2023,Farm 206,greenhouse,4532.9,0.02,0.01,71.0,70.71
1445,Brazil,SPG 2023,Farm 206,greenhouse,3935.07,0.03,0.02,99.0,98.77
1446,Brazil,SPG 2023,Farm 206,greenhouse,2736.4,0.04,0.04,119.0,118.76
1447,Brazil,SPG 2023,Farm 206,garden,4082.74,0.01,0.01,40.0,40.42
1448,Brazil,SPG 2023,Farm 206,garden,2285.91,0.03,0.03,72.0,72.01
1449,Brazil,SPG 2023,Farm 206,garden,855.44,0.3,0.26,254.0,253.21
1450,Brazil,SPG 2023,Farm 206,field,385.74,1.37,1.19,531.0,529.51
1451,Brazil,SPG 2023,Farm 206,field,653.48,0.54,0.47,353.0,352.09
1452,Brazil,SPG 2023,Farm 206,residence,0.0,0.01,0.01,50.0,49.92
1453,Brazil,SPG 2023,Farm 206,residence,0.0,0.01,0.01,36.0,35.81
1454,Brazil,SPG 2023,Farm 206,natural_area,449.94,1.69,1.47,764.0,762.06
1455,Brazil,SPG 2023,Farm 182,natural_area,300.55,3.58,2.84,1076.0,1074.81
1456,Brazil,SPG 2023,Farm 182,natural_area,753.63,0.33,0.27,253.0,252.24
1457,Brazil,SPG 2023,Farm 182,natural_area,697.2,0.34,0.27,241.0,240.26
1458,Brazil,SPG 2023,Farm 182,surface_water,1122.3,0.11,0.09,128.0,128.28
1459,Brazil,SPG 2023,Farm 182,residence,0.0,0.05,0.04,92.0,91.54
1460,Brazil,SPG 2023,Farm 182,field,540.35,1.86,1.47,1007.0,1004.02
1461,Brazil,SPG 2023,Farm 182,field,288.06,3.37,2.67,973.0,971.15
1462,Brazil,SPG 2023,Farm 182,natural_area,374.98,1.08,0.86,406.0,404.83
1463,Brazil,SPG 2023,Farm 182,surface_water,2162.77,0.03,0.03,69.0,68.56
1464,Brazil,SPG 2023,Farm 182,surface_water,2539.46,0.02,0.02,60.0,60.19
1465,Brazil,SPG 2023,Farm 207,farm_site_boundary,2646.16,0.06,0.07,146.0,145.54
1466,Brazil,SPG 2023,Farm 207,field,2694.63,0.05,0.06,145.0,144.43
1467,Brazil,SPG 2023,Farm 207,farm_site_boundary,452.88,3.46,4.11,1577.0,1568.49
1468,Brazil,SPG 2023,Farm 207,field,453.66,3.46,4.1,1577.0,1568.17
1469,Brazil,SPG 2023,Farm 208,farm_site_boundary,517.91,0.7,0.83,365.0,363.62
1470,Brazil,SPG 2023,Farm 208,field,519.69,0.7,0.83,365.0,363.78
1471,Brazil,SPG 2023,Farm 208,farm_site_boundary,318.38,5.63,6.69,1803.0,1793.42
1472,Brazil,SPG 2023,Farm 208,field,318.49,5.63,6.68,1802.0,1792.84
1473,Brazil,Other,Farm 209,residence,0.0,0.01,0.01,42.0,41.99
1474,Brazil,SPG 2023,Farm 40,barn,0.0,0.01,0.01,50.0,49.75
1475,Brazil,SPG 2023,Farm 210,farm_site_boundary,115.39,15.47,13.32,1789.0,1784.58
1476,Brazil,SPG 2023,Farm 210,garden,2726.66,0.05,0.04,129.0,128.43
1477,Brazil,SPG 2023,Farm 210,garden,829.32,0.25,0.21,206.0,205.67
1478,Brazil,SPG 2023,Farm 210,greenhouse,2561.55,0.03,0.02,73.0,73.0
1479,Brazil,SPG 2023,Farm 210,residence,0.0,0.01,0.01,44.0,43.99
1480,Brazil,SPG 2023,Farm 210,residence,0.0,0.01,0.01,48.0,47.62
1481,Brazil,SPG 2023,Farm 210,garden,786.54,0.28,0.24,221.0,220.23
1482,Brazil,SPG 2023,Farm 211,farm_site_boundary,89.09,29.69,23.74,2646.0,2645.07
1483,Brazil,SPG 2023,Farm 211,natural_area,312.76,2.49,1.99,781.0,779.05
1484,Brazil,SPG 2023,Farm 211,field,464.98,0.73,0.59,341.0,340.64
1485,Brazil,SPG 2023,Farm 211,field,129.5,14.83,11.86,1922.0,1920.42
1486,Brazil,SPG 2023,Farm 211,surface_water,1996.69,0.05,0.04,99.0,98.64
1487,Brazil,SPG 2023,Farm 211,surface_water,2574.32,0.02,0.02,63.0,62.56
1488,Brazil,SPG 2023,Farm 211,natural_area,683.19,0.61,0.49,418.0,416.2
1489,Brazil,SPG 2023,Farm 211,residence,0.0,0.01,0.01,39.0,39.0
1490,Brazil,SPG 2023,Farm 211,residence,0.0,0.02,0.02,63.0,63.21
1491,Brazil,SPG 2023,Farm 211,residence,0.0,0.01,0.01,47.0,47.38
1492,Brazil,SPG 2023,Farm 211,residence,0.0,0.04,0.03,91.0,90.82
1493,Brazil,SPG 2023,Farm 211,residence,0.0,0.02,0.02,60.0,59.88
1494,Brazil,SPG 2023,Farm 211,residence,0.0,0.02,0.02,60.0,59.71
1495,Brazil,SPG 2023,Farm 211,field,224.88,4.52,3.61,1017.0,1015.68
1496,Brazil,SPG 2023,Farm 211,field,633.39,0.52,0.41,327.0,326.7
1497,Brazil,SPG 2023,Farm 211,field,314.56,1.93,1.54,608.0,606.98
1498,Brazil,SPG 2023,Farm 211,field,1119.96,0.13,0.1,147.0,146.83
1499,Brazil,SPG 2023,Farm 211,field,1418.8,0.09,0.07,122.0,122.02
1500,Brazil,SPG 2023,Farm 211,field,1534.93,0.1,0.08,150.0,149.5
1501,Brazil,SPG 2023,Farm 211,field,2190.21,0.04,0.03,84.0,84.1
1502,Brazil,SPG 2023,Farm 211,field,2276.8,0.05,0.04,104.0,103.59
1503,Brazil,SPG 2023,Farm 211,field,2182.25,0.05,0.04,108.0,107.37
1504,Brazil,SPG 2023,Farm 211,field,1083.15,0.2,0.16,212.0,211.65
1505,Brazil,SPG 2023,Farm 211,field,1557.98,0.07,0.06,111.0,110.93
1506,Brazil,SPG 2023,Farm 211,field,1310.94,0.1,0.08,125.0,124.67
1507,Brazil,SPG 2023,Farm 211,field,556.34,0.63,0.5,351.0,350.33
1508,Brazil,SPG 2023,Farm 211,field,2025.34,0.1,0.08,210.0,210.23
1509,Brazil,SPG 2023,Farm 211,field,1973.61,0.05,0.04,92.0,92.17
1510,Brazil,SPG 2023,Farm 211,natural_area,1835.91,0.23,0.18,418.0,417.49
1511,Brazil,SPG 2023,Farm 211,natural_area,1687.1,0.32,0.25,535.0,532.95
1512,Brazil,SPG 2023,Farm 212,field,1121.79,0.13,0.1,147.0,147.07
1513,Brazil,SPG 2023,Farm 212,field,568.86,0.67,0.54,384.0,382.22
1514,Brazil,SPG 2023,Farm 212,farm_site_boundary,159.06,8.92,7.13,1419.0,1418.13
1515,Brazil,SPG 2023,Farm 212,residence,0.0,0.01,0.01,38.0,37.77
1516,Brazil,SPG 2023,Farm 212,residence,0.0,0.01,0.01,38.0,38.14
1517,Brazil,SPG 2023,Farm 212,barn,0.0,0.02,0.01,52.0,51.97
1518,Brazil,SPG 2023,Farm 212,natural_area,393.99,1.69,1.35,668.0,667.06
1519,Brazil,SPG 2023,Farm 212,field,330.28,1.42,1.13,469.0,467.75
1520,Brazil,SPG 2023,Farm 212,field,404.53,1.95,1.55,789.0,786.88
1521,Brazil,SPG 2023,Farm 212,field,870.21,0.31,0.25,269.0,267.85
1522,Brazil,SPG 2023,Farm 212,natural_area,647.91,0.6,0.48,386.0,385.57
1523,Brazil,SPG 2023,Farm 212,natural_area,1034.79,0.87,0.7,904.0,901.51
1524,Argentina,Other,Farm 213,farm_site_boundary,246.31,2.94,1.44,725.0,724.73
1525,Brazil,SPG 2023,Farm 212,field,767.49,0.41,0.33,314.0,313.91
1526,Brazil,SPG 2023,Farm 212,field,1096.05,0.26,0.21,282.0,281.47
1527,Brazil,SPG 2023,Farm 212,field,3300.76,0.11,0.09,362.0,361.1
1528,Brazil,SPG 2023,Farm 31,field,3130.27,0.03,0.03,98.0,97.98
1529,Brazil,Other,Farm 214,farm_site_boundary,1891.02,0.06,0.05,109.0,108.73
1530,Brazil,Other,Farm 214,residence,0.0,0.01,0.01,37.0,37.09
1531,Brazil,Other,Farm 214,farm_site_boundary,3480.72,0.01,0.01,47.0,46.64
1532,Brazil,SPG 2023,Farm 215,farm_site_boundary,175.63,7.74,6.08,1363.0,1359.06
1533,Brazil,SPG 2023,Farm 215,residence,0.0,0.01,0.01,45.0,44.92
1534,Brazil,SPG 2023,Farm 215,field,385.79,1.12,0.88,431.0,430.43
1535,Brazil,SPG 2023,Farm 215,natural_area,698.76,0.49,0.38,340.0,339.81
1536,Brazil,SPG 2023,Farm 216,farm_site_boundary,137.23,15.75,12.33,2162.0,2161.6
1537,Brazil,SPG 2023,Farm 216,field,155.38,9.8,7.67,1523.0,1522.88
1538,Brazil,SPG 2023,Farm 216,surface_water,953.94,0.27,0.21,261.0,260.43
1539,Brazil,SPG 2023,Farm 216,surface_water,3017.52,0.01,0.01,45.0,44.96
1540,Brazil,SPG 2023,Farm 216,field,622.09,0.48,0.38,299.0,299.04
1541,Brazil,SPG 2023,Farm 216,field,626.2,0.42,0.33,260.0,260.0
1542,Brazil,SPG 2023,Farm 216,field,363.0,1.22,0.96,444.0,442.97
1543,Brazil,SPG 2023,Farm 216,field,656.4,0.53,0.42,351.0,350.65
1544,Brazil,SPG 2023,Farm 216,field,456.49,0.82,0.64,375.0,374.27
1545,Brazil,SPG 2023,Farm 216,natural_area,563.56,0.79,0.62,444.0,442.95
1546,Brazil,SPG 2023,Farm 216,residence,0.0,0.02,0.01,55.0,55.37
1547,Brazil,SPG 2023,Farm 216,barn,0.0,0.02,0.02,59.0,58.9
1548,Brazil,Other,Farm 217,farm_site_boundary,408.16,1.0,0.8,411.0,409.88
1549,Brazil,Other,Farm 217,garden,472.3,0.71,0.56,334.0,333.06
1550,Brazil,Other,Farm 217,field,1120.3,0.13,0.1,143.0,142.17
1551,Brazil,Other,Farm 217,field,1660.1,0.06,0.05,100.0,100.27
1552,Brazil,Other,Farm 217,residence,0.0,0.02,0.01,52.0,52.19
1553,Brazil,Other,Farm 217,garden,0.23,330.0,0.03,76.0,75.64
1554,Brazil,Other,Farm 217,farm_site_boundary,88.96,20.84,16.68,1858.0,1853.65
1555,Brazil,SPG 2023,Farm 218,farm_site_boundary,70.56,72.01,86.75,5100.0,5081.24
1556,Brazil,SPG 2023,Farm 219,farm_site_boundary,1809.24,0.06,0.08,114.0,113.26
1557,Brazil,SPG 2023,Farm 219,field,2869.0,0.05,0.06,145.0,144.6
1558,Brazil,SPG 2023,Farm 215,field,312.79,1.57,1.24,493.0,492.2
1559,Brazil,SPG 2023,Farm 215,field,260.22,3.04,2.39,793.0,791.6
1560,Brazil,SPG 2023,Farm 215,field,521.27,0.85,0.67,444.0,442.82
1561,Brazil,Other,Farm 217,field,466.1,1.06,0.85,496.0,494.07
1562,Brazil,Other,Farm 220,farm_site_boundary,165.44,8.73,6.98,1446.0,1444.58
1563,Brazil,Other,Farm 220,natural_area,370.93,1.74,1.39,646.0,645.01
1564,Brazil,Other,Farm 220,natural_area,988.81,0.93,0.75,926.0,923.45
1565,Brazil,Other,Farm 220,natural_area,817.39,0.48,0.39,396.0,395.45
1566,Brazil,Other,Farm 220,field,1969.51,0.2,0.16,397.0,395.48
1567,Brazil,Other,Farm 220,residence,0.0,0.01,0.01,36.0,36.04
1568,Brazil,Other,Farm 220,residence,0.0,0.01,0.01,37.0,37.25
1569,Brazil,Other,Farm 220,field,345.25,1.36,1.09,472.0,470.75
1570,Brazil,Other,Farm 220,field,817.51,0.54,0.44,447.0,445.3
1571,Brazil,Other,Farm 220,field,1420.36,0.09,0.07,124.0,123.57
1572,Brazil,Other,Farm 220,field,997.54,0.29,0.23,288.0,287.39
1573,Brazil,Other,Farm 220,field,557.49,0.61,0.49,339.0,338.4
1574,Brazil,Other,Farm 220,field,417.54,1.35,1.08,564.0,562.88
1575,Brazil,Other,Farm 220,field,1013.02,0.29,0.23,294.0,293.77
1576,Brazil,Other,Farm 220,barn,0.0,0.01,0.01,51.0,51.34
1577,Brazil,Other,Farm 220,field,901.36,0.31,0.25,281.0,279.96
1578,Brazil,SPG 2023,Farm 199,natural_area,248.05,2.6,3.08,646.0,644.15
1579,Brazil,SPG 2023,Farm 195,natural_area,248.09,2.6,3.08,646.0,644.47
1580,Brazil,SPG 2023,Farm 200,natural_area,247.57,2.6,3.09,646.0,643.68
1581,Brazil,SPG 2023,Farm 208,natural_area,248.4,2.6,3.09,648.0,645.84
1582,Brazil,SPG 2023,Farm 207,natural_area,247.97,2.6,3.09,648.0,645.92
1583,Brazil,SPG 2023,Farm 199,farm_site_boundary,247.84,2.6,3.09,646.0,644.37
1584,Brazil,SPG 2023,Farm 200,farm_site_boundary,247.76,2.6,3.08,646.0,643.72
1585,Brazil,SPG 2023,Farm 195,farm_site_boundary,247.89,2.6,3.09,646.0,644.74
1586,Brazil,SPG 2023,Farm 208,farm_site_boundary,248.2,2.6,3.09,648.0,646.28
1587,Brazil,SPG 2023,Farm 208,farm_site_boundary,248.22,2.6,3.09,648.0,646.14
1588,Brazil,SPG 2023,Farm 207,farm_site_boundary,247.96,2.6,3.09,648.0,645.82
1589,Brazil,SPG 2023,Farm 218,field,70.61,71.98,86.72,5102.0,5082.71
1590,Brazil,SPG 2023,Farm 219,natural_area,235.14,2.97,3.57,699.0,697.68
1591,Brazil,SPG 2023,Farm 219,farm_site_boundary,235.0,2.97,3.58,700.0,698.25
1592,Brazil,SPG 2023,Farm 219,farm_site_boundary,180.12,11.0,13.24,1987.0,1982.15
1593,Brazil,SPG 2023,Farm 219,field,180.49,11.0,13.23,1989.0,1984.56
1594,Brazil,SPG 2023,Farm 179,natural_area,540.32,1.23,0.99,669.0,667.08
1595,Brazil,Other,Farm 221,field,917.37,0.21,0.26,191.0,190.54
1596,Brazil,Other,Farm 222,surface_water,153.29,33.35,30.79,5124.0,5111.93
1597,Brazil,Other,Farm 223,field,365.05,1.71,1.58,628.0,625.87
1598,Brazil,Other,Farm 224,farm_site_boundary,98.28,17.14,13.72,1689.0,1684.52
1599,Brazil,Other,Farm 224,residence,0.0,0.01,0.01,48.0,47.79
1600,Brazil,Other,Farm 224,residence,0.0,0.02,0.01,57.0,56.52
1601,Brazil,Other,Farm 224,field,257.96,2.88,2.31,746.0,743.57
1602,Brazil,Other,Farm 224,field,400.14,1.64,1.32,660.0,657.91
1603,Brazil,Other,Farm 224,field,220.09,3.32,2.66,733.0,730.79
1604,Brazil,Other,Farm 224,field,282.06,3.02,2.42,854.0,851.46
1605,Brazil,Other,Farm 224,natural_area,502.34,0.64,0.51,322.0,321.09
1606,Brazil,Other,Farm 224,field,884.42,0.41,0.33,364.0,362.7
1607,Brazil,Other,Farm 224,barn,0.0,0.02,0.02,67.0,67.27
1608,Brazil,Other,Farm 224,natural_area,201.92,4.46,3.57,902.0,899.97
1609,Brazil,Other,Farm 224,ceremonial_area,0.0,0.37,0.3,249.0,248.09
1610,Brazil,Other,Farm 224,garden,1300.82,0.11,0.08,137.0,136.85
1611,Brazil,SPG 2023,Farm 225,natural_area,1349.18,0.19,0.15,261.0,261.2
1612,Brazil,SPG 2023,Farm 225,natural_area,496.34,0.67,0.52,331.0,330.51
1613,Brazil,SPG 2023,Farm 225,field,434.92,1.01,0.8,442.0,440.96
1614,Brazil,SPG 2023,Farm 225,field,462.55,0.76,0.6,354.0,352.65
1615,Brazil,SPG 2023,Farm 225,farm_site_boundary,167.29,8.35,6.56,1401.0,1397.11
1616,Brazil,SPG 2023,Farm 225,field,298.96,3.66,2.88,1099.0,1095.22
1617,Brazil,SPG 2023,Farm 225,residence,0.0,0.03,0.02,68.0,67.85
1618,Brazil,SPG 2023,Farm 225,field,699.0,0.64,0.51,452.0,450.78
1619,Brazil,SPG 2023,Farm 225,natural_area,572.1,0.51,0.4,292.0,291.37
1620,Brazil,Other,Farm 102,farm_site_boundary,529.5,0.62,0.53,328.0,327.82
1621,Brazil,Other,Farm 226,field,1343.97,0.11,0.15,145.0,144.21
1622,Brazil,Other,Farm 227,field,75.16,29.86,27.72,2250.0,2244.3
1623,Brazil,Other,Farm 228,garden,1152.26,0.12,0.17,143.0,142.3
1624,Brazil,Other,Farm 229,residence,0.0,0.02,0.02,66.0,65.84
1625,Argentina,Other,Farm 230,barn,0.0,5.17,2.78,930.0,928.33
1626,Brazil,Other,Farm 231,natural_area,1346.91,0.47,0.4,630.0,628.74
1627,Brazil,Other,Farm 232,greenhouse,3749.32,0.01,0.01,51.0,51.37
1628,Brazil,Other,Farm 232,barn,0.0,0.0,0.0,29.0,29.06
1629,Brazil,Other,Farm 232,surface_water,982.73,0.15,0.13,148.0,147.41
1630,Brazil,Other,Farm 232,surface_water,1676.19,0.06,0.05,96.0,95.38
1631,Brazil,Other,Farm 232,surface_water,1699.49,0.05,0.04,81.0,80.39
1632,Brazil,Other,Farm 232,surface_water,3666.46,0.01,0.01,49.0,48.76
1633,Brazil,Other,Farm 226,garden,672.73,0.55,0.78,371.0,369.67
1634,Brazil,Other,Farm 233,surface_water,513.03,0.64,0.53,329.0,328.65
1635,Brazil,Other,Farm 233,garden,845.19,0.31,0.25,261.0,260.66
1636,Brazil,Other,Farm 233,residence,0.0,0.12,0.1,155.0,155.31
1637,Brazil,Other,Farm 233,field,712.72,0.43,0.35,305.0,303.83
1638,Brazil,Other,Farm 233,greenhouse,130.57,11.88,9.76,1553.0,1551.56
1639,Brazil,Other,Farm 233,natural_area,200.24,4.44,3.65,890.0,888.93
1640,Brazil,Other,Farm 234,surface_water,2063.43,0.04,0.06,88.0,87.49
1641,Brazil,Other,Farm 234,field,1826.43,0.05,0.07,94.0,93.33
1642,Brazil,Other,Farm 235,natural_area,75018.96,0.01,2.95,752.0,750.19
1643,Brazil,Other,Farm 235,greenhouse,427.26,1.18,1.03,503.0,502.46
1644,Brazil,Other,Farm 235,garden,543.56,0.68,0.59,369.0,367.66
1645,Brazil,Other,Farm 235,surface_water,656.22,0.47,0.41,310.0,309.41
1646,Brazil,Other,Farm 226,barn,0.0,0.13,0.19,143.0,142.42
1647,Argentina,CREA,Farm 166,farm_site_boundary,43.93,142.55,80.08,6268.0,6262.79
