,country_name,scale,type,Shape Index
0,Brazil,Other,field,1.5089220283339941
1,Brazil,Other,field,1.145570036785571
2,Brazil,Other,field,1.2009717136249827
3,Brazil,Other,field,1.2064303073643532
4,Brazil,Other,field,0.9539117007492511
5,Brazil,Other,field,1.2299298091395297
6,Brazil,Other,field,1.1010008561294016
7,Brazil,Other,field,1.075081236877378
8,Brazil,Other,field,1.073690208835035
9,Brazil,Other,field,1.0803882023968738
10,Brazil,Other,field,0.8269702769230403
11,Brazil,Other,field,0.8520680034415671
12,Brazil,Other,field,1.3147921779848077
13,Argentina,Other,field,1.2424986137131075
14,Brazil,Other,field,1.5940845935318488
15,Brazil,Other,field,1.109022331544199
16,Brazil,Other,field,1.0719160198248738
17,Brazil,Other,field,1.2007027971786899
18,Brazil,Other,field,1.1025868299045856
19,Brazil,Other,field,1.195940368989967
20,Argentina,Other,field,1.224134190260726
21,Argentina,Other,field,1.5255831710670682
22,Brazil,Other,field,1.380002602357138
23,Brazil,Other,field,1.1739377432812765
24,Brazil,Other,field,1.1043430904951215
25,Brazil,Other,field,1.2383783377279867
26,Brazil,Other,field,1.0308693626266383
27,Brazil,Other,field,1.061153159608806
28,Argentina,Other,field,1.422039048313458
29,Brazil,Other,field,1.306123639320689
30,Brazil,Other,field,1.036315097049317
31,Brazil,Other,field,1.2697054127585983
32,Argentina,Other,farm_site_boundary,1.796280156448113
33,Argentina,Other,garden,1.5206168467696897
34,Argentina,Other,greenhouse,1.6522270093782818
35,Argentina,Other,residence,1.5618006883151112
36,Argentina,Other,surface_water,1.5941009339646184
37,Brazil,SPG 2023,residence,1.1252011036248584
38,Brazil,SPG 2023,residence,1.3298226259028474
39,Brazil,SPG 2023,surface_water,1.2188252901617322
40,Brazil,SPG 2023,field,1.1482529178495995
41,Brazil,SPG 2023,field,1.3883980632545618
42,Brazil,SPG 2023,greenhouse,1.1508521480453333
43,Brazil,SPG 2023,greenhouse,1.1440074490276524
44,Brazil,SPG 2023,barn,1.1276746085297864
45,Brazil,SPG 2023,barn,1.1500234665528382
46,Argentina,Other,greenhouse,2.5743761093155744
47,Argentina,Other,greenhouse,2.7117239882411135
48,Argentina,Other,greenhouse,2.157520365556016
49,Argentina,Other,greenhouse,1.5484053161057838
50,Brazil,Other,field,3.686876683955196
51,Brazil,Other,field,1.1915191072587017
52,Brazil,Other,surface_water,1.0908404792197317
53,Brazil,Other,barn,1.2412703731652295
54,Brazil,Other,field,1.6592010744951418
55,Brazil,Other,natural_area,1.202060390981385
56,Brazil,SPG 2023,residence,1.131022274661364
57,Argentina,Other,field,1.587694651613801
58,Argentina,Other,barn,1.6084228063317967
59,Argentina,Other,greenhouse,1.605597216330879
60,Argentina,Other,residence,1.513676032480886
61,Argentina,Other,garden,1.5352771815747503
62,Brazil,Other,ceremonial_area,1.0731670520334198
63,Brazil,Other,garden,1.1007581401646733
64,Brazil,Other,farm_site_boundary,1.189725051305531
65,Brazil,Other,field,1.4977174262404953
66,Brazil,Other,field,1.0835563483023616
67,Brazil,SPG 2023,residence,1.1259888666049576
68,Brazil,SPG 2023,farm_site_boundary,1.2868861861466143
69,Brazil,SPG 2023,field,1.1833018674913378
70,Brazil,SPG 2023,natural_area,1.3565158213078385
71,Brazil,SPG 2023,natural_area,1.5141158783107096
72,Brazil,SPG 2023,field,1.7304588761076318
73,Brazil,SPG 2023,field,2.1486724584053833
74,Brazil,SPG 2023,natural_area,3.4099961211439616
75,Brazil,SPG 2023,natural_area,1.7393577900958244
76,Brazil,SPG 2023,natural_area,1.5608844164935831
77,Brazil,SPG 2023,barn,1.1245837092749298
78,Brazil,SPG 2023,natural_area,1.3435643210127992
79,Brazil,SPG 2023,natural_area,1.1926127014998902
80,Brazil,SPG 2023,natural_area,1.3320964684335699
81,Brazil,SPG 2023,field,1.1631662912420289
82,Brazil,SPG 2023,natural_area,2.2009256588321304
83,Brazil,SPG 2023,barn,1.6216632232834627
84,Brazil,SPG 2023,farm_site_boundary,1.1639077744698059
85,Brazil,SPG 2023,field,1.2264065276157439
86,Brazil,SPG 2023,field,1.8612366763161743
87,Brazil,SPG 2023,residence,1.239019169876812
88,Brazil,SPG 2023,barn,1.1341857525602463
89,Brazil,SPG 2023,barn,1.7697555236517835
90,Brazil,SPG 2023,field,0.923476825838724
91,Brazil,SPG 2023,field,0.9522799944534286
92,Brazil,SPG 2023,field,0.9189272753470429
93,Brazil,SPG 2023,field,0.9123501110243024
94,Brazil,SPG 2023,field,0.9565622283663219
95,Brazil,SPG 2023,farm_site_boundary,1.4555763184258228
96,Brazil,SPG 2023,field,1.1503533175999483
97,Brazil,SPG 2023,field,1.414817077600194
98,Brazil,SPG 2023,surface_water,1.1257479885629051
99,Brazil,SPG 2023,field,1.4412824071119983
100,Brazil,SPG 2023,greenhouse,1.2231563065715052
101,Brazil,SPG 2023,residence,1.1192848878569257
102,Brazil,SPG 2023,residence,1.2029142873105434
103,Brazil,Other,residence,1.1545176793149226
104,Brazil,Other,greenhouse,1.4866594929356851
105,Brazil,Other,greenhouse,1.406754114108796
106,Brazil,Other,surface_water,1.0671572603407897
107,Brazil,Other,surface_water,1.2705010483290877
108,Brazil,Other,farm_site_boundary,1.471361068302569
109,Brazil,Other,field,1.2177379228468315
110,Brazil,Other,field,1.239910182802833
